imagen,timestamp,planta_id,numero_plantas_total,area_plantcv,perimetro_opencv,solidez_opencv,precision,f1_score
webcam_2025-09-05_13-00-24,2025-09-05 13:00:24,3,3,352.0,76.97056245803833,0.9531013586895571,0.604363312112129,0.5190739445551376
webcam_2025-09-05_16-00-07,2025-09-05 16:00:07,1,3,579.0,121.4558436870575,0.8823031314440252,0.4514377381413688,0.3819972082602112
webcam_2025-09-05_16-00-07,2025-09-05 16:00:07,2,3,523.0,118.28427076339722,0.8452488672484183,0.3971194153204929,0.3306770216764583
webcam_2025-09-05_16-00-07,2025-09-05 16:00:07,3,3,274.0,69.31370830535889,0.965794764725172,0.5842195050784723,0.4981205508983939
webcam_2025-09-06_09-00-26,2025-09-06 09:00:26,1,3,632.0,117.69848430156708,0.9129057784435379,0.5292541129585209,0.4560427759811002
webcam_2025-09-06_09-00-26,2025-09-06 09:00:26,2,3,626.0,126.5269113779068,0.8216098610273969,0.4121036428730076,0.34422144218232464
webcam_2025-09-06_09-00-26,2025-09-06 09:00:26,3,3,618.0,136.28427076339722,0.8869286272864015,0.31706726655608775,0.26752894810978584
webcam_2025-09-06_13-00-06,2025-09-06 13:00:06,1,3,658.0,118.62741661071777,0.9368667171677838,0.5472277608000005,0.47572895034460017
webcam_2025-09-06_13-00-06,2025-09-06 13:00:06,2,3,728.0,141.11269772052765,0.8854655045070791,0.35023630839196473,0.29862567550342445
webcam_2025-09-06_13-00-06,2025-09-06 13:00:06,3,3,618.0,129.94112491607666,0.8615622569813423,0.40590951068167513,0.34152908601383525
webcam_2025-09-06_16-00-18,2025-09-06 16:00:18,1,3,690.0,126.52691125869751,0.9071942432990011,0.5028703182749596,0.43329458220138933
webcam_2025-09-06_16-00-18,2025-09-06 16:00:18,2,3,638.0,138.5269113779068,0.8143669974191081,0.35162461022137964,0.2913023527560044
webcam_2025-09-06_16-00-18,2025-09-06 16:00:18,3,3,607.0,130.62741661071777,0.828636708562625,0.40182524554763754,0.334449887604537
webcam_2025-09-07_13-00-03,2025-09-07 13:00:03,1,3,510.0,108.52691125869751,0.8992172193753087,0.4978711632657253,0.4226536102678459
webcam_2025-09-07_13-00-03,2025-09-07 13:00:03,2,3,531.0,117.94112479686737,0.8694063911061071,0.414357083775269,0.3477942527236644
webcam_2025-09-07_13-00-03,2025-09-07 13:00:03,3,3,338.0,75.21320295333862,0.9618441940799867,0.6126173628329085,0.5266225047129709
webcam_2025-09-07_16-00-02,2025-09-07 16:00:02,1,3,637.0,118.62741661071777,0.937752625807999,0.5316667144051093,0.46096198023445273
webcam_2025-09-07_16-00-02,2025-09-07 16:00:02,2,3,705.0,150.76955199241638,0.8180645150734651,0.37422480600748403,0.31074259166254037
webcam_2025-09-07_16-00-02,2025-09-07 16:00:02,3,3,601.0,131.69848430156708,0.8019359630648757,0.40706105288606265,0.33580506684823985
webcam_2025-09-08_13-00-09,2025-09-08 13:00:09,1,3,746.0,138.62741661071777,0.8131736517207501,0.43921069850193184,0.3688892344005597
webcam_2025-09-08_13-00-09,2025-09-08 13:00:09,2,3,758.0,146.66904664039612,0.8304269382676766,0.37485328894925896,0.3150912808775486
webcam_2025-09-08_13-00-09,2025-09-08 13:00:09,3,3,736.0,135.3553385734558,0.8287122602233983,0.42762087635342544,0.3609980523907329
webcam_2025-09-08_16-00-22,2025-09-08 16:00:22,1,3,633.0,127.35533845424652,0.8762414043143752,0.4513089887537906,0.3826365848009801
webcam_2025-09-08_16-00-22,2025-09-08 16:00:22,2,3,607.0,124.18376553058624,0.8701504340931902,0.43121943854108247,0.36449606435453785
webcam_2025-09-08_16-00-22,2025-09-08 16:00:22,3,3,332.0,79.79898953437805,0.8990825660578515,0.5557368580258701,0.4673211343862117
webcam_2025-09-09_13-00-02,2025-09-09 13:00:02,1,3,727.0,129.4558436870575,0.8687132581728109,0.4978887385261896,0.4260130391419869
webcam_2025-09-09_13-00-02,2025-09-09 13:00:02,2,3,699.0,142.28427064418793,0.8745668733547237,0.3381019801632063,0.28624229330918
webcam_2025-09-09_13-00-02,2025-09-09 13:00:02,3,3,619.0,133.4558436870575,0.8049311083322247,0.3981115940857293,0.329152224402771
webcam_2025-09-09_16-00-15,2025-09-09 16:00:15,1,3,756.0,132.04163014888763,0.9364435416680953,0.5142747690239672,0.4483376905724836
webcam_2025-09-09_16-00-15,2025-09-09 16:00:15,2,3,716.0,151.94112491607666,0.8512888290134979,0.35504580309209155,0.29768288424422473
webcam_2025-09-09_16-00-15,2025-09-09 16:00:15,3,3,652.0,135.11269783973694,0.810475532997277,0.38690754276525163,0.3214840634850108
webcam_2025-09-10_09-00-20,2025-09-10 09:00:20,1,3,634.0,121.4558436870575,0.8909512747239733,0.49666170638560353,0.4245129911424961
webcam_2025-09-10_09-00-20,2025-09-10 09:00:20,2,3,612.0,138.28427076339722,0.8757016826372066,0.3276877249007825,0.27513509045127965
webcam_2025-09-10_09-00-20,2025-09-10 09:00:20,3,3,558.0,124.52691125869751,0.8121951206305771,0.4064488709720628,0.3357448042998552
webcam_2025-09-10_13-00-08,2025-09-10 13:00:08,1,3,566.0,122.28427076339722,0.8683760668916648,0.44780385110332743,0.37661006349206916
webcam_2025-09-10_13-00-08,2025-09-10 13:00:08,2,3,611.0,128.42640602588654,0.8226527558529765,0.4191107052863537,0.3489704979450991
webcam_2025-09-10_13-00-08,2025-09-10 13:00:08,3,3,305.0,70.97056245803833,0.942608692373535,0.6302876453202445,0.5373692202217184
webcam_2025-09-10_16-00-19,2025-09-10 16:00:19,1,3,718.0,133.11269783973694,0.8923705709913208,0.4697044841115364,0.4028047498524262
webcam_2025-09-10_16-00-19,2025-09-10 16:00:19,2,3,568.0,120.87005722522736,0.8558256481880543,0.4087761849936163,0.3430689035640403
webcam_2025-09-10_16-00-19,2025-09-10 16:00:19,3,3,334.0,80.14213538169861,0.9439999969792,0.5330969446675792,0.45365465890437395
webcam_2025-09-11_09-00-25,2025-09-11 09:00:25,1,3,648.0,124.87005722522736,0.9039938542181354,0.4807604827769168,0.41207554664988144
webcam_2025-09-11_09-00-25,2025-09-11 09:00:25,2,3,599.0,132.87005722522736,0.8513513499978516,0.39880672525827326,0.33315521385741304
webcam_2025-09-11_09-00-25,2025-09-11 09:00:25,3,3,315.0,72.72792184352875,0.9426644150331723,0.6133706058770249,0.5232554703664343
webcam_2025-09-11_13-00-05,2025-09-11 13:00:05,1,3,740.0,132.28427064418793,0.8955026443181182,0.4926441018626804,0.42423666630764506
webcam_2025-09-11_13-00-05,2025-09-11 13:00:05,2,3,672.0,125.11269772052765,0.8725978635265511,0.4579659963295596,0.3906085949267626
webcam_2025-09-11_13-00-05,2025-09-11 13:00:05,3,3,679.0,153.11269772052765,0.735436892311363,0.3249865629555924,0.2623983910643033
webcam_2025-09-11_16-00-18,2025-09-11 16:00:18,1,3,565.0,117.4558436870575,0.8791018983089778,0.4662905463050748,0.3945317883512232
webcam_2025-09-11_16-00-18,2025-09-11 16:00:18,2,3,504.0,118.5269113779068,0.8305555540174897,0.40136209104865755,0.3318294149480697
webcam_2025-09-11_16-00-18,2025-09-11 16:00:18,3,3,285.0,71.55634891986847,0.9452830153008188,0.5755518474844944,0.4883828519498556
webcam_2025-09-12_09-00-28,2025-09-12 09:00:28,1,3,573.0,108.04163014888763,0.9053819428726008,0.5604685567554596,0.481491644272302
webcam_2025-09-12_09-00-28,2025-09-12 09:00:28,2,3,668.0,136.28427076339722,0.7815942958112841,0.39029820855438396,0.3221737106917831
webcam_2025-09-12_09-00-28,2025-09-12 09:00:28,3,3,356.0,81.79898953437805,0.8980169946231813,0.5707871515093772,0.48147062760156245
webcam_2025-09-12_13-00-09,2025-09-12 13:00:09,1,3,651.0,119.4558436870575,0.9281249985498047,0.5352316798939196,0.4635604018910048
webcam_2025-09-12_13-00-09,2025-09-12 13:00:09,2,3,373.0,80.38477599620819,0.9126875827757501,0.6092717838615583,0.5185038201515721
webcam_2025-09-12_13-00-09,2025-09-12 13:00:09,3,3,323.0,72.14213538169861,0.9320388319351495,0.6462848876991661,0.5512081883843983
webcam_2025-09-12_16-00-21,2025-09-12 16:00:21,1,3,701.0,127.4558436870575,0.9268645895338674,0.5101036786601083,0.44202540595198764
webcam_2025-09-12_16-00-21,2025-09-12 16:00:21,2,3,634.0,131.69848430156708,0.8211206884754013,0.3885561759944318,0.32372616748157723
webcam_2025-09-12_16-00-21,2025-09-12 16:00:21,3,3,403.0,84.97056245803833,0.9317889293905047,0.5784823101738052,0.4955871122466834
webcam_2025-09-13_09-00-23,2025-09-13 09:00:23,1,3,640.0,123.69848430156708,0.9078844638440524,0.4872209662312056,0.4179157599222778
webcam_2025-09-13_09-00-23,2025-09-13 09:00:23,2,3,543.0,117.4558436870575,0.8743267488791261,0.3994682684222087,0.3364576539398065
webcam_2025-09-13_09-00-23,2025-09-13 09:00:23,3,3,273.0,70.14213538169861,0.9122137369762835,0.5817979871350683,0.4886154491640985
webcam_2025-09-13_13-00-03,2025-09-13 13:00:03,1,3,676.0,126.28427052497864,0.897959182364491,0.49217214833980716,0.422378422659484
webcam_2025-09-13_13-00-03,2025-09-13 13:00:03,2,3,299.0,68.72792184352875,0.9448398542888261,0.653273583314645,0.5577912831797437
webcam_2025-09-13_13-00-03,2025-09-13 13:00:03,3,3,283.0,68.97056233882904,0.9398496205268811,0.6151060673982136,0.5222980977898702
webcam_2025-09-13_16-00-21,2025-09-13 16:00:21,1,3,597.0,119.11269783973694,0.8876127959186009,0.48486873881829734,0.41260388118681385
webcam_2025-09-13_16-00-21,2025-09-13 16:00:21,2,3,553.0,123.4558435678482,0.8145094792835788,0.3717579714213226,0.30727687657869845
webcam_2025-09-13_16-00-21,2025-09-13 16:00:21,3,3,269.0,68.14213538169861,0.9458917797759848,0.6114200390656204,0.5185834210473143
webcam_2025-09-14_09-00-01,2025-09-14 09:00:01,1,3,282.0,64.72792184352875,0.9435028213050741,0.7041300472567755,0.6010722515230382
