imagen,timestamp,planta_id,numero_plantas_total,area,ndvi_mean,ndvi_std
foto_2025-09-08_16-00-13,2025-09-08 16:00:13,3,3,877.0,-0.0947059765458107,0.07562393695116043
foto_2025-09-09_13-00-00,2025-09-09 13:00:00,1,3,725.5,-0.16323141753673553,0.1209040954709053
foto_2025-09-09_13-00-00,2025-09-09 13:00:00,2,3,585.0,-0.17145533859729767,0.13064345717430115
foto_2025-09-09_13-00-00,2025-09-09 13:00:00,3,3,891.5,-0.1983172744512558,0.08442380279302597
foto_2025-09-09_16-00-00,2025-09-09 16:00:00,1,3,713.0,-0.06590080261230469,0.11015937477350235
foto_2025-09-09_16-00-00,2025-09-09 16:00:00,2,3,590.5,-0.0478595532476902,0.11352959275245667
foto_2025-09-09_16-00-00,2025-09-09 16:00:00,3,3,876.5,-0.07562053203582764,0.06082858145236969
foto_2025-09-10_09-00-20,2025-09-10 09:00:20,1,3,643.5,-0.028442593291401863,0.10856961458921432
foto_2025-09-10_09-00-20,2025-09-10 09:00:20,2,3,524.5,-0.019892243668437004,0.11856675893068314
foto_2025-09-10_09-00-20,2025-09-10 09:00:20,3,3,846.0,-0.033151775598526,0.06963314861059189
foto_2025-09-10_13-00-00,2025-09-10 13:00:00,1,3,767.5,-0.2586660087108612,0.20686210691928864
foto_2025-09-10_13-00-00,2025-09-10 13:00:00,2,3,646.0,-0.3105621039867401,0.20197978615760803
foto_2025-09-10_13-00-00,2025-09-10 13:00:00,3,3,906.0,-0.43433672189712524,0.15592725574970245
foto_2025-09-11_09-00-25,2025-09-11 09:00:25,1,3,764.5,-0.07554847002029419,0.1066390872001648
foto_2025-09-11_09-00-25,2025-09-11 09:00:25,2,3,568.0,-0.07563264667987823,0.11460224539041519
foto_2025-09-11_09-00-25,2025-09-11 09:00:25,3,3,988.5,-0.10192321985960007,0.08259665220975876
foto_2025-09-11_13-00-05,2025-09-11 13:00:05,1,3,820.0,-0.08013931661844254,0.12596435844898224
foto_2025-09-11_13-00-05,2025-09-11 13:00:05,2,3,590.5,-0.06138386204838753,0.12298646569252014
foto_2025-09-11_13-00-05,2025-09-11 13:00:05,3,3,1029.5,-0.11014730483293533,0.07438664138317108
foto_2025-09-11_16-00-18,2025-09-11 16:00:18,1,3,754.0,-0.06531903147697449,0.11848116666078568
